Trial,Date,Time,Parameter,Threshold,Actual_Value,Expected_Alert,Actual_Alert,AirTemp_C,Humidity_pct,Rainfall_mm,WindSpeed_kmh,Weather_Condition,Status
1,2026-04-28,1:30 PM,DO,>= 5.0 mg/L,7.22 mg/L,No Alert,No Alert,31.7,57,0.10,12.6,Light Drizzle,Pass
2,2026-04-28,1:40 PM,DO,>= 5.0 mg/L,8.08 mg/L,No Alert,No Alert,31.7,57,0.10,12.6,Light Drizzle,Pass
3,2026-04-28,1:50 PM,DO,>= 5.0 mg/L,7.66 mg/L,No Alert,No Alert,31.7,57,0.10,12.6,Light Drizzle,Pass
4,2026-04-28,2:00 PM,DO,>= 5.0 mg/L,8.29 mg/L,No Alert,No Alert,33.2,49,0.00,9.3,Overcast,Pass
5,2026-04-28,2:10 PM,DO,>= 5.0 mg/L,7.56 mg/L,No Alert,No Alert,33.2,49,0.00,9.3,Overcast,Pass
6,2026-04-28,2:20 PM,DO,10.0 to 12.0 mg/L (Advisory),10.13 mg/L,Dissolved oxygen is 10.13 mg/L — outside the optimal range (5-9 mg/L) but still acceptable.,Dissolved oxygen is 10.13 mg/L — outside the optimal range (5-9 mg/L) but still acceptable.,33.2,49,0.00,9.3,Overcast,Pass
7,2026-04-28,2:30 PM,DO,>= 5.0 mg/L,9.11 mg/L,No Alert,No Alert,33.2,49,0.00,9.3,Overcast,Pass
8,2026-04-28,2:40 PM,DO,>= 5.0 mg/L,8.59 mg/L,No Alert,No Alert,33.2,49,0.00,9.3,Overcast,Pass
9,2026-04-28,2:50 PM,DO,10.0 to 12.0 mg/L (Advisory),10.17 mg/L,Dissolved oxygen is 10.17 mg/L — outside the optimal range (5-9 mg/L) but still acceptable.,Dissolved oxygen is 10.17 mg/L — outside the optimal range (5-9 mg/L) but still acceptable.,33.2,49,0.00,9.3,Overcast,Pass
10,2026-04-28,3:00 PM,DO,>= 5.0 mg/L,9.77 mg/L,No Alert,No Alert,33.0,49,0.00,10.2,Overcast,Pass
11,2026-04-28,3:10 PM,DO,10.0 to 12.0 mg/L (Advisory),10.03 mg/L,Dissolved oxygen is 10.03 mg/L — outside the optimal range (5-9 mg/L) but still acceptable.,Dissolved oxygen is 10.03 mg/L — outside the optimal range (5-9 mg/L) but still acceptable.,33.0,49,0.00,10.2,Overcast,Pass
12,2026-04-28,3:20 PM,DO,>= 5.0 mg/L,9.23 mg/L,No Alert,No Alert,33.0,49,0.00,10.2,Overcast,Pass
13,2026-04-28,3:30 PM,DO,>= 5.0 mg/L,9.14 mg/L,No Alert,No Alert,33.0,49,0.00,10.2,Overcast,Pass
14,2026-04-28,3:40 PM,DO,>= 5.0 mg/L,8.57 mg/L,No Alert,No Alert,33.0,49,0.00,10.2,Overcast,Pass
15,2026-04-28,3:50 PM,DO,>= 5.0 mg/L,8.07 mg/L,No Alert,No Alert,33.0,49,0.00,10.2,Overcast,Pass
16,2026-04-28,4:00 PM,DO,>= 5.0 mg/L,8.98 mg/L,No Alert,No Alert,32.3,50,0.00,12.4,Overcast,Pass
17,2026-04-28,4:10 PM,DO,>= 5.0 mg/L,8.29 mg/L,No Alert,No Alert,32.3,50,0.00,12.4,Overcast,Pass
18,2026-04-28,4:20 PM,DO,>= 5.0 mg/L,8.14 mg/L,No Alert,No Alert,32.3,50,0.00,12.4,Overcast,Pass
19,2026-04-28,4:30 PM,DO,>= 5.0 mg/L,8.33 mg/L,No Alert,No Alert,32.3,50,0.00,12.4,Overcast,Pass
20,2026-04-28,4:40 PM,DO,>= 5.0 mg/L,7.97 mg/L,No Alert,No Alert,32.3,50,0.00,12.4,Overcast,Pass
21,2026-04-28,4:50 PM,DO,>= 5.0 mg/L,7.80 mg/L,No Alert,No Alert,32.3,50,0.00,12.4,Overcast,Pass
22,2026-04-28,5:00 PM,DO,>= 5.0 mg/L,7.50 mg/L,No Alert,No Alert,31.6,53,0.00,13.9,Overcast,Pass
23,2026-04-28,5:10 PM,DO,>= 5.0 mg/L,7.15 mg/L,No Alert,No Alert,31.6,53,0.00,13.9,Overcast,Pass
24,2026-04-28,5:20 PM,DO,>= 5.0 mg/L,6.75 mg/L,No Alert,No Alert,31.6,53,0.00,13.9,Overcast,Pass
25,2026-04-28,5:30 PM,DO,>= 5.0 mg/L,6.47 mg/L,No Alert,No Alert,31.6,53,0.00,13.9,Overcast,Pass
26,2026-04-28,5:40 PM,DO,>= 5.0 mg/L,6.26 mg/L,No Alert,No Alert,31.6,53,0.00,13.9,Overcast,Pass
27,2026-04-28,5:50 PM,DO,>= 5.0 mg/L,6.33 mg/L,No Alert,No Alert,31.6,53,0.00,13.9,Overcast,Pass
28,2026-04-28,6:00 PM,DO,>= 5.0 mg/L,6.33 mg/L,No Alert,No Alert,30.0,59,0.00,13.1,Mainly Clear,Pass
29,2026-04-28,6:10 PM,DO,>= 5.0 mg/L,6.07 mg/L,No Alert,No Alert,30.0,59,0.00,13.1,Mainly Clear,Pass
30,2026-04-28,6:20 PM,DO,>= 5.0 mg/L,5.96 mg/L,No Alert,No Alert,30.0,59,0.00,13.1,Mainly Clear,Pass
31,2026-04-28,6:30 PM,DO,>= 5.0 mg/L,5.75 mg/L,No Alert,No Alert,30.0,59,0.00,13.1,Mainly Clear,Pass
32,2026-04-28,6:40 PM,DO,>= 5.0 mg/L,5.70 mg/L,No Alert,No Alert,30.0,59,0.00,13.1,Mainly Clear,Pass
33,2026-04-28,6:50 PM,DO,>= 5.0 mg/L,5.47 mg/L,No Alert,No Alert,30.0,59,0.00,13.1,Mainly Clear,Pass
34,2026-04-28,7:00 PM,DO,>= 5.0 mg/L,5.51 mg/L,No Alert,No Alert,28.7,65,0.00,8.8,Clear Sky,Pass
